Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Hydaburg Seaplane Base	Hydaburg	United States	HYG	PAHY	55.20629883	-132.8280029	A	America/Anchorage
Igiugig Airport	Igiugig	United States	IGG	PAIG	59.32400131	-155.9019928	A	America/Anchorage
Egegik Airport	Egegik	United States	EGX	PAII	58.1855011	-157.375	A	America/Anchorage
Bob Baker Memorial Airport	Kiana	United States	IAN	PAIK	66.97599792	-160.4369965	A	America/Anchorage
Iliamna Airport	Iliamna	United States	ILI	PAIL	59.75439835	-154.9109955	A	America/Anchorage
Indian Mountain LRRS Airport	Indian Mountains	United States	UTO	PAIM	65.99279785	-153.7039948	A	America/Anchorage
McKinley National Park Airport	McKinley Park	United States	MCL	PAIN	63.73260117	-148.9109955	A	America/Anchorage
Wales Airport	Wales	United States	WAA	PAIW	65.622593	-168.095	A	America/Anchorage
Juneau International Airport	Juneau	United States	JNU	PAJN	58.35499954	-134.576004	A	America/Anchorage
Koliganek Airport	Koliganek	United States	KGK	PAJZ	59.72660065	-157.2590027	A	America/Anchorage
False Pass Airport	False Pass	United States	KFP	PAKF	54.84740067	-163.4100037	A	America/Anchorage
Akhiok Airport	Akhiok	United States	AKK	PAKH	56.93870163	-154.1829987	A	America/Anchorage
Kipnuk Airport	Kipnuk	United States	KPN	PAKI	59.93299866	-164.0310059	A	America/Anchorage
Koyuk Alfred Adams Airport	Koyuk	United States	KKA	PAKK	64.9394989	-161.154007	A	America/Anchorage
King Salmon Airport	King Salmon	United States	AKN	PAKN	58.67679977	-156.6490021	A	America/Anchorage
Nikolski Air Station	Nikolski	United States	IKO	PAKO	52.9416008	-168.848999	A	America/Anchorage
Anaktuvuk Pass Airport	Anaktuvuk Pass	United States	AKP	PAKP	68.13359833	-151.7429962	A	America/Anchorage
Ketchikan International Airport	Ketchikan	United States	KTN	PAKT	55.35559845	-131.7140045	A	America/Anchorage
Ugnu-Kuparuk Airport	Kuparuk	United States	UUK	PAKU	70.33080292	-149.5980072	A	America/Anchorage
Kaltag Airport	Kaltag	United States	KAL	PAKV	64.31909943	-158.7409973	A	America/Anchorage
Klawock Airport	Klawock	United States	KLW	PAKW	55.57920074	-133.076004	A	America/Anchorage
Karluk Airport	Karluk	United States	KYK	PAKY	57.56710052	-154.4499969	A	America/Anchorage
Larsen Bay Airport	Larsen Bay	United States	KLN	PALB	57.53509903	-153.9779968	A	America/Anchorage
Kalskag Airport	Kalskag	United States	KLG	PALG	61.53630066	-160.3410034	A	America/Anchorage
Lake Hood Airport	Anchorage	United States	\N	PALH	61.186946	-149.965442	A	America/Anchorage
Port Alsworth Airport	Port alsworth	United States	PTA	PALJ	60.201681	-154.325863	A	America/Anchorage
Cape Lisburne LRRS Airport	Cape Lisburne	United States	LUR	PALU	68.87509918	-166.1100006	A	America/Anchorage
Manokotak Airport	Manokotak	United States	KMO	PAMB	58.99020004	-159.0500031	A	America/Anchorage
McGrath Airport	Mcgrath	United States	MCG	PAMC	62.95289993	-155.6060028	A	America/Anchorage
Minchumina Airport	Lake Minchumina	United States	LMA	PAMH	63.886002	-152.302002	A	America/Anchorage
St Michael Airport	St. Michael	United States	SMK	PAMK	63.49010086	-162.1100006	A	America/Anchorage
Manley Hot Springs Airport	Manley Hot Springs	United States	MLY	PAML	64.99759674	-150.6439972	A	America/Anchorage
Metlakatla Seaplane Base	Metakatla	United States	MTM	PAMM	55.131001	-131.578003	A	America/Anchorage
Mountain Village Airport	Mountain Village	United States	MOU	PAMO	62.09540176	-163.6820068	A	America/Anchorage
Merrill Field	Anchorage	United States	MRI	PAMR	61.21350098	-149.8439941	A	America/Anchorage
Mekoryuk Airport	Mekoryuk	United States	MYU	PAMY	60.37139893	-166.2709961	A	America/Anchorage
Napakiak Airport	Napakiak	United States	WNA	PANA	60.69029999	-161.9790039	A	America/Anchorage
Ted Stevens Anchorage International Airport	Anchorage	United States	ANC	PANC	61.17440033	-149.9960022	A	America/Anchorage
